Source,Target,Type
1,16,directed
1,10,directed
1,2,directed
1,9,directed
1,27,directed
1,4,directed
1,8,directed
1,28,directed
1,14,directed
1,15,directed
2,1,directed
2,3,directed
2,15,directed
2,7,directed
3,2,directed
3,21,directed
3,23,directed
3,22,directed
3,26,directed
3,7,directed
4,1,directed
6,11,directed
6,12,directed
6,13,directed
6,3,directed
6,1,directed
8,1,directed
10,1,directed
10,16,directed
16,10,directed
14,1,directed
22,21,directed
22,3,directed
22,32,directed
22,33,directed
22,34,directed
21,3,directed
21,23,directed
21,24,directed
21,27,directed
21,25,directed
21,26,directed
21,22,directed
24,21,directed
23,21,directed
23,3,directed
23,26,directed
25,21,directed
